Transaction ID,Timestamp,Item ID,Supplier ID,Customer ID,Location,Temperature,Humidity,GPS Coordinates,Order Amount,Quantity Shipped,Order Status,Payment Status,Time to Delivery,Quantity Mismatch,Fraud Indicator,Transaction Hash,Smart Contract Status,Compliance Check
TX00014,58:29.7,9458,S6,C3,NY,8.711227025,71.2915982,"(34.7501, -104.4366)",1616,51,Delivered,Overdue,7,5,1,0xcb93,Triggered,1
TX00015,58:29.7,9087,S9,C2,NY,19.74340102,47.48363263,"(38.3338, -112.8303)",2844,184,Delivered,Paid,5,7,0,0x7ca8,Completed,1
TX00016,58:29.7,9372,S1,C8,SF,16.95595636,40.40287422,"(35.6035, -102.3987)",2335,161,Shipped,Paid,7,3,0,0x82ae,Triggered,1
TX00017,58:29.7,9099,S7,C5,Chicago,15.10332588,76.35353379,"(37.9163, -85.6973)",1948,70,Shipped,Overdue,9,1,0,0x1dc4,Completed,0
TX00018,58:29.7,9871,S10,C1,Chicago,18.74392976,60.21913022,"(38.533, -92.2035)",2177,120,Delivered,Paid,1,4,1,0x6155,Active,1
TX00019,58:29.7,9663,S5,C2,LA,19.34312989,53.9810852,"(39.5697, -99.7058)",1392,108,Shipped,Overdue,6,9,1,0xebe0,Active,1
TX00020,58:29.7,9130,S8,C1,LA,11.80359371,72.76182318,"(36.7451, -83.9811)",2387,58,Pending,Paid,9,7,1,0xab03,Completed,1
TX00021,58:29.7,9661,S7,C6,NY,9.915341742,41.05179653,"(40.6266, -113.0708)",2994,169,Delivered,Overdue,1,8,1,0xe7f7,Active,0
TX00022,58:29.7,9308,S4,C9,NY,9.729729903,48.09163285,"(41.627, -78.1535)",2728,122,Shipped,Overdue,6,8,1,0x7b83,Active,0
TX00023,58:29.7,9769,S4,C7,SF,5.535936531,46.2115225,"(40.967, -100.9804)",1357,164,Shipped,Paid,3,13,0,0x223c,Completed,1
TX00024,58:29.7,9343,S6,C5,LA,9.194571406,69.51322737,"(40.7374, -91.7374)",2079,189,Shipped,Paid,8,3,0,0xb225,Active,1
TX00025,58:29.7,9491,S6,C3,Chicago,10.32568951,52.48347003,"(35.6432, -85.1303)",2307,149,Delivered,Paid,7,2,1,0xdab9,Completed,0
TX00026,58:29.7,9413,S9,C8,LA,5.553482592,70.91626982,"(37.2488, -106.8526)",2686,122,Pending,Overdue,4,0,1,0x334c,Triggered,1
TX00027,58:29.7,9805,S5,C10,LA,18.23907223,41.65905776,"(41.0263, -81.1975)",2950,187,Pending,Paid,4,9,0,0xb2c4,Active,0
TX00028,58:29.7,9385,S8,C4,LA,17.71785104,64.32462311,"(40.915, -81.3214)",2985,162,Delivered,Paid,8,9,1,0x1d5d,Active,1
TX00029,58:29.7,9191,S5,C9,NY,8.772513799,52.72882897,"(38.4338, -92.2386)",2212,123,Delivered,Overdue,6,13,0,0x7ad0,Active,0
TX00030,58:29.7,9955,S2,C5,Chicago,17.0383835,47.47679741,"(41.5909, -114.1796)",2617,66,Shipped,Overdue,7,2,1,0x2252,Active,0
TX00031,58:29.7,9276,S6,C6,Chicago,16.94317819,72.6705997,"(40.4501, -96.318)",2039,53,Pending,Paid,5,8,1,0x79f1,Triggered,0
TX00032,58:29.7,9160,S9,C5,NY,10.0251914,56.49000494,"(41.8273, -91.2349)",1186,113,Shipped,Overdue,4,4,1,0x5796,Completed,0
TX00033,58:29.7,9459,S3,C10,NY,15.45602058,62.86518389,"(35.3004, -83.3029)",1745,193,Delivered,Paid,1,10,0,0x490a,Completed,1
TX00034,58:29.7,9313,S1,C7,Chicago,9.34786757,41.32335375,"(39.3814, -113.2982)",2199,98,Pending,Paid,7,4,1,0x8554,Completed,1
TX00035,58:29.7,9021,S1,C7,SF,6.054143538,71.66498069,"(34.0719, -95.5359)",1272,149,Delivered,Paid,4,14,1,0x0056,Completed,1
TX00036,58:29.7,9252,S3,C1,LA,12.57196751,51.47530182,"(35.9319, -80.9741)",1494,55,Pending,Paid,5,1,1,0xca99,Active,1
TX00037,58:29.7,9747,S10,C2,Chicago,11.57490561,67.73624551,"(36.0074, -90.1715)",2570,153,Delivered,Overdue,5,4,0,0x81dd,Triggered,1
TX00038,58:29.7,9856,S5,C7,NY,7.072293718,70.41898339,"(36.761, -104.2357)",1606,58,Shipped,Paid,2,2,1,0x0d6d,Active,1
TX00039,58:29.7,9560,S3,C8,Chicago,12.35830005,44.6846503,"(35.4545, -97.3775)",2466,107,Pending,Overdue,2,8,0,0x6188,Triggered,1
TX00040,58:29.7,9474,S9,C4,LA,19.24063619,51.83602256,"(38.6342, -93.8544)",1215,81,Pending,Paid,9,10,0,0x6ad5,Completed,0
TX00041,58:29.7,9058,S8,C6,Chicago,15.97089721,68.93760328,"(40.8529, -90.6444)",2704,79,Pending,Paid,6,11,0,0x8c3c,Triggered,1
TX00042,58:29.7,9510,S3,C10,NY,16.08308465,49.2871019,"(39.9219, -105.4448)",2316,94,Delivered,Paid,8,11,1,0x1394,Completed,1
TX00043,58:29.7,9681,S9,C3,SF,16.36326193,73.92695808,"(37.3655, -119.1768)",1112,163,Shipped,Paid,6,12,1,0xfefb,Completed,0
TX00044,58:29.7,9475,S6,C7,NY,16.16950711,52.47894124,"(34.6329, -102.6696)",1029,199,Shipped,Paid,3,1,0,0x6208,Triggered,1
TX00045,58:29.7,9699,S7,C3,SF,5.298521531,56.0932083,"(35.6779, -83.4168)",1337,80,Pending,Paid,3,0,1,0x6b60,Triggered,1
TX00046,58:29.7,9975,S4,C7,LA,18.87036404,43.98973389,"(39.4119, -76.3363)",2242,177,Shipped,Overdue,5,4,1,0x1c24,Completed,1
TX00047,58:29.7,9782,S4,C8,NY,17.45206647,45.90700474,"(41.0963, -76.0053)",2423,66,Delivered,Overdue,3,10,0,0x4099,Triggered,0
TX00048,58:29.7,9189,S2,C3,Chicago,9.118691111,51.01686513,"(36.9222, -98.2031)",1979,162,Pending,Paid,2,11,1,0x1c39,Triggered,0
TX00049,58:29.7,9957,S5,C2,NY,13.29115257,41.95635313,"(36.981, -76.6062)",2896,174,Delivered,Paid,4,7,0,0x45fa,Active,1
TX00050,58:29.7,9686,S8,C6,NY,14.22508895,47.72129119,"(37.2217, -114.7457)",2070,103,Delivered,Overdue,4,0,1,0xa44e,Triggered,0
TX00051,58:29.7,9957,S7,C4,LA,6.979175437,56.35772107,"(36.0041, -100.8831)",2819,128,Shipped,Paid,9,11,0,0xee53,Completed,0
TX00052,58:29.7,9562,S7,C8,SF,8.809450653,55.19848987,"(38.824, -92.1861)",1916,96,Pending,Paid,7,8,0,0x2c9e,Triggered,1
TX00053,58:29.7,9875,S6,C2,SF,5.348756529,47.94777519,"(40.0703, -90.846)",1040,188,Delivered,Paid,8,6,0,0x5da5,Triggered,1
TX00054,58:29.7,9566,S3,C4,Chicago,17.9592758,43.21802735,"(37.9323, -118.6423)",2276,194,Pending,Overdue,1,14,1,0xef35,Active,1
TX00055,58:29.7,9243,S5,C2,NY,5.373576046,52.72591339,"(39.5602, -116.1544)",2836,125,Pending,Paid,7,8,0,0x703f,Active,1
TX00056,58:29.7,9831,S1,C2,LA,9.780437568,69.8138643,"(37.7505, -79.6622)",1352,164,Delivered,Overdue,9,6,0,0xdadb,Completed,1
TX00057,58:29.7,9504,S7,C2,SF,6.173697394,60.40398289,"(38.775, -111.0466)",1623,164,Shipped,Overdue,9,3,1,0xb79a,Triggered,0
TX00058,58:29.7,9130,S9,C1,Chicago,16.72108889,77.87215897,"(40.4637, -106.4816)",1200,75,Shipped,Overdue,5,14,0,0xa8fa,Triggered,1
TX00059,58:29.7,9484,S1,C4,SF,18.8747416,45.59545311,"(38.6182, -91.3868)",2471,117,Pending,Overdue,1,7,1,0x0aaa,Active,0
TX00060,58:29.7,9818,S2,C2,Chicago,13.4422343,48.29271779,"(39.849, -117.0758)",1215,196,Shipped,Paid,6,11,1,0xd600,Triggered,1
TX00061,58:29.7,9646,S3,C9,SF,7.09350226,51.21198135,"(40.8341, -114.8767)",1652,62,Pending,Overdue,3,6,1,0xb74a,Triggered,0
TX00062,58:29.7,9020,S3,C9,Chicago,13.37241287,40.52007599,"(34.7563, -99.4402)",1221,78,Pending,Overdue,7,5,0,0xcbbf,Triggered,1
TX00063,58:29.7,9840,S8,C7,SF,16.55511859,77.73521914,"(36.9775, -117.5424)",2194,103,Delivered,Overdue,8,10,0,0x2228,Completed,0
TX00064,58:29.7,9166,S7,C6,SF,15.77624308,57.81455326,"(35.328, -100.2354)",1224,122,Pending,Paid,6,2,1,0x1e30,Active,1
TX00065,58:29.7,9273,S6,C3,NY,16.12578509,59.26597909,"(40.6326, -114.5413)",1118,70,Delivered,Paid,2,0,0,0xe5d4,Completed,1
TX00066,58:29.7,9387,S10,C7,Chicago,9.187607638,46.31429706,"(34.8362, -83.7827)",2133,58,Shipped,Overdue,9,10,0,0x2cc3,Completed,0
TX00067,58:29.7,9600,S10,C1,Chicago,6.106062839,74.9079076,"(37.9385, -103.7888)",2908,97,Delivered,Paid,7,10,1,0x32ff,Completed,0
TX00068,58:29.7,9315,S4,C9,NY,7.234454578,67.70528947,"(37.6908, -101.5119)",1569,134,Shipped,Overdue,9,2,1,0xb1e5,Triggered,0
TX00069,58:29.7,9013,S9,C4,NY,19.33259728,57.2544395,"(40.2552, -119.5803)",1471,182,Delivered,Paid,2,6,1,0xf239,Completed,0
TX00070,58:29.7,9241,S1,C6,SF,14.20270981,75.11885987,"(37.4653, -112.8515)",2299,121,Shipped,Paid,6,13,1,0xf5a8,Completed,1
TX00071,58:29.7,9776,S2,C6,SF,15.91849409,76.21830953,"(36.4663, -114.9523)",2137,64,Pending,Overdue,9,6,0,0xbcdb,Triggered,1
TX00072,58:29.7,9345,S4,C3,SF,18.48596888,41.97922164,"(37.4159, -91.0517)",2214,126,Delivered,Paid,8,7,1,0xba1b,Triggered,1
TX00073,58:29.7,9564,S3,C4,NY,17.7913185,44.77298359,"(39.2927, -84.1465)",2536,146,Shipped,Overdue,5,0,0,0x2c5b,Active,1
TX00074,58:29.7,9897,S1,C10,SF,8.276027746,41.10513197,"(40.5201, -93.102)",2046,172,Delivered,Overdue,2,9,1,0x0837,Triggered,1
TX00075,58:29.7,9339,S5,C3,NY,5.870900669,63.26920988,"(36.8252, -117.6908)",2568,81,Pending,Overdue,7,9,0,0x0412,Triggered,0
TX00076,58:29.7,9091,S7,C6,SF,18.87692301,48.71775441,"(34.287, -114.9032)",1696,85,Shipped,Overdue,8,14,1,0x2718,Completed,1
TX00077,58:29.7,9366,S2,C1,NY,19.72502439,73.79712334,"(41.8707, -84.631)",1208,195,Pending,Paid,8,7,0,0xc22a,Active,0
TX00078,58:29.7,9955,S5,C8,Chicago,13.5101629,58.63655442,"(37.239, -99.0209)",1693,189,Delivered,Overdue,2,4,1,0xf23d,Triggered,0
TX00079,58:29.7,9454,S6,C8,LA,18.32602872,73.50838986,"(39.8991, -96.852)",2473,136,Pending,Overdue,4,9,1,0xd2be,Active,0
TX00080,58:29.7,9427,S7,C9,SF,8.477240746,62.22420894,"(36.8833, -104.2698)",1606,175,Shipped,Paid,8,3,0,0x2fc5,Completed,0
TX00081,58:29.7,9508,S1,C6,SF,6.665580569,71.84671189,"(35.6771, -80.1475)",2658,179,Pending,Overdue,4,11,0,0xe112,Active,0
TX00082,58:29.7,9775,S7,C1,NY,12.49725406,54.87420033,"(37.3132, -86.1437)",2694,135,Pending,Paid,7,14,1,0x877c,Triggered,1
TX00083,58:29.7,9942,S4,C3,Chicago,17.16775129,77.81575362,"(38.5901, -86.0658)",1437,118,Shipped,Overdue,4,10,0,0x8136,Triggered,0
TX00084,58:29.7,9034,S8,C1,Chicago,14.81980435,66.6863489,"(36.5673, -86.1596)",1245,194,Shipped,Overdue,9,14,0,0xa752,Completed,1
TX00085,58:29.7,9205,S4,C5,SF,14.55980252,63.81962178,"(40.3197, -115.3074)",1911,92,Pending,Overdue,9,12,1,0x417b,Active,0
TX00086,58:29.7,9080,S6,C3,NY,5.261883623,54.09426735,"(34.7317, -75.6527)",2188,195,Delivered,Overdue,4,5,1,0x5159,Completed,1
TX00087,58:29.7,9931,S9,C2,NY,9.762393385,77.48735916,"(34.9436, -89.1822)",1868,80,Pending,Paid,3,5,0,0xc80e,Active,0
TX00088,58:29.7,9561,S5,C3,LA,19.0924368,53.50937601,"(39.9825, -117.142)",1247,112,Pending,Paid,4,10,1,0xcc12,Triggered,0
TX00089,58:29.7,9871,S4,C9,Chicago,7.014103093,73.43437741,"(39.9721, -101.1218)",1390,77,Shipped,Paid,9,2,1,0x73e3,Triggered,1
TX00090,58:29.7,9387,S8,C8,LA,15.89548918,56.17232864,"(36.1974, -90.0601)",1244,186,Shipped,Paid,7,7,1,0x830a,Triggered,1
TX00091,58:29.7,9001,S9,C3,Chicago,16.38966731,70.68736006,"(40.665, -94.2242)",1768,146,Shipped,Overdue,4,9,1,0x0be6,Active,0
TX00092,58:29.7,9389,S4,C2,SF,15.99249865,76.47511662,"(40.965, -118.994)",2169,77,Shipped,Paid,9,14,1,0x200a,Active,0
TX00093,58:29.7,9565,S3,C5,SF,19.83927341,58.62428468,"(39.9088, -112.3769)",2449,195,Pending,Overdue,9,10,0,0xa6e5,Completed,1
TX00094,58:29.7,9105,S8,C1,NY,11.13812317,61.04540849,"(36.2886, -94.2486)",1806,192,Shipped,Overdue,1,4,1,0x13bf,Triggered,1
TX00095,58:29.7,9771,S5,C4,NY,15.23290088,53.21371624,"(36.1956, -112.4331)",2817,54,Shipped,Overdue,9,1,0,0x66ea,Active,0
TX00096,58:29.7,9821,S2,C8,NY,7.904826701,42.18782691,"(41.084, -79.1974)",2354,90,Delivered,Overdue,8,12,1,0x653d,Completed,0
TX00097,58:29.7,9476,S10,C1,Chicago,10.99564874,66.09924792,"(34.291, -97.4945)",2216,159,Delivered,Paid,3,10,1,0x355f,Completed,1
TX00098,58:29.7,9702,S9,C5,NY,12.37340904,44.78570098,"(35.6294, -81.1466)",1636,125,Delivered,Paid,8,2,0,0x0f47,Triggered,0
TX00099,58:29.7,9401,S3,C4,SF,8.222413117,54.16235715,"(37.7002, -98.4694)",1124,166,Delivered,Overdue,4,9,1,0x98b2,Active,1
TX00100,58:29.7,9729,S2,C6,LA,18.60216114,53.97975639,"(39.0198, -117.4969)",2592,115,Pending,Overdue,2,8,1,0x14f1,Triggered,0
TX00101,58:29.7,9555,S1,C7,SF,15.74296746,46.04015278,"(35.0184, -97.5727)",2509,122,Delivered,Overdue,6,7,1,0xdd01,Active,1
TX00102,58:29.7,9161,S8,C9,SF,9.256366521,66.66841264,"(41.7337, -82.0377)",1196,160,Delivered,Overdue,2,14,0,0x23e4,Triggered,1
TX00103,58:29.7,9201,S3,C1,SF,7.024346589,46.98397323,"(41.1149, -113.828)",1213,169,Delivered,Paid,7,1,0,0xf7ae,Completed,1
TX00104,58:29.7,9957,S7,C10,LA,9.318009926,71.13345397,"(41.669, -87.1503)",1460,176,Pending,Overdue,1,7,0,0x023a,Active,1
TX00105,58:29.7,9995,S1,C4,SF,14.34478073,49.97116286,"(36.6055, -81.099)",1528,193,Pending,Overdue,4,14,1,0x834b,Active,0
TX00106,58:29.7,9269,S1,C6,Chicago,17.39612957,51.49149944,"(39.9785, -86.8571)",1497,106,Pending,Paid,8,0,0,0xabc0,Active,1
TX00107,58:29.7,9862,S9,C10,Chicago,12.54752386,53.74913208,"(39.877, -83.9616)",1390,114,Delivered,Paid,7,0,0,0x536e,Completed,0
TX00108,58:29.7,9815,S8,C7,LA,6.537420103,46.11010244,"(41.5882, -113.8408)",1869,96,Pending,Paid,7,13,1,0x385c,Completed,0
TX00109,58:29.7,9270,S3,C7,Chicago,8.739722996,57.37057946,"(41.9962, -80.7447)",2734,191,Pending,Paid,7,9,1,0x0e4e,Triggered,1
TX00110,58:29.7,9455,S6,C8,NY,10.17715879,43.21300497,"(37.533, -112.9153)",1267,89,Delivered,Paid,7,2,1,0x9e33,Completed,0
TX00111,58:29.7,9461,S3,C10,Chicago,14.54204381,57.08464339,"(37.6303, -84.9625)",2317,97,Pending,Overdue,7,4,1,0xf91c,Completed,1
TX00112,58:29.7,9726,S4,C8,SF,8.69965063,53.5964853,"(38.8196, -107.4202)",2238,88,Pending,Paid,7,10,0,0x2aa8,Triggered,0
TX00113,58:29.7,9251,S1,C8,Chicago,8.50892589,53.53061789,"(37.2544, -77.0566)",2711,150,Pending,Paid,5,8,1,0x5430,Completed,1
TX00114,58:29.7,9701,S5,C8,NY,9.293028029,66.42697007,"(40.4306, -114.4169)",1438,169,Delivered,Overdue,7,3,0,0x5aa0,Triggered,1
TX00115,58:29.7,9295,S1,C8,NY,13.88793567,70.76091498,"(38.3631, -78.1057)",1821,92,Pending,Overdue,5,7,1,0x49db,Completed,0
TX00116,58:29.7,9724,S1,C6,NY,12.38945426,54.23994089,"(34.2745, -118.0854)",2607,93,Shipped,Overdue,7,12,1,0x8674,Completed,0
TX00117,58:29.7,9719,S10,C9,SF,17.6245393,50.48058768,"(39.7339, -94.1004)",2038,127,Pending,Paid,4,14,1,0xae0d,Active,0
TX00118,58:29.7,9748,S7,C3,NY,15.46898472,59.77397739,"(34.368, -75.1793)",2053,125,Delivered,Overdue,8,6,0,0x7420,Active,1
TX00119,58:29.7,9337,S6,C6,SF,15.00232808,71.50876302,"(38.6408, -97.8632)",1566,157,Shipped,Paid,7,2,1,0x740e,Active,0
TX00120,58:29.7,9878,S2,C5,NY,7.31975093,65.78291805,"(37.5816, -88.4692)",2096,180,Shipped,Overdue,6,11,1,0x4c16,Completed,1
TX00121,58:29.7,9052,S2,C8,SF,5.828416979,41.52005391,"(37.6669, -90.3415)",1620,56,Delivered,Paid,6,11,0,0xe93b,Active,1
TX00122,58:29.7,9791,S7,C4,SF,12.64998297,59.19718095,"(37.9067, -92.5177)",2172,134,Pending,Paid,5,12,1,0x7cd2,Triggered,1
TX00123,58:29.7,9921,S1,C4,SF,6.074624981,79.63860255,"(40.4415, -83.2274)",2259,107,Delivered,Paid,2,8,1,0x2d05,Active,1
TX00124,58:29.7,9216,S2,C10,Chicago,10.46026874,54.12510111,"(40.7924, -110.8664)",1315,140,Delivered,Paid,6,5,0,0xb9fd,Triggered,1
TX00125,58:29.7,9763,S8,C10,NY,5.391685225,57.62867206,"(34.489, -82.3738)",2997,187,Delivered,Overdue,8,3,1,0x431a,Triggered,0
TX00126,58:29.7,9187,S6,C5,SF,7.652134649,51.49626926,"(34.3384, -110.3929)",1647,59,Shipped,Paid,2,3,0,0x8e8b,Triggered,1
TX00127,58:29.7,9379,S2,C6,NY,6.65551803,59.90778758,"(38.2096, -81.5055)",2198,83,Pending,Paid,6,4,1,0x725a,Triggered,1
TX00128,58:29.7,9492,S7,C4,Chicago,17.01477506,46.4368529,"(41.1743, -91.7377)",2783,109,Delivered,Paid,2,1,1,0x512a,Completed,1
TX00129,58:29.7,9040,S4,C2,LA,10.19189229,49.8805456,"(41.7341, -87.1526)",2911,179,Pending,Overdue,8,4,0,0xa636,Triggered,0
TX00130,58:29.7,9156,S2,C2,NY,6.182697774,68.46945234,"(38.2218, -113.9533)",1931,94,Shipped,Paid,4,7,1,0xfd18,Triggered,0
TX00131,58:29.7,9014,S6,C3,NY,8.982203068,45.53147175,"(37.4303, -82.9947)",1840,54,Pending,Overdue,8,13,1,0xc12c,Active,0
TX00132,58:29.7,9812,S9,C2,Chicago,15.24212129,77.04575055,"(36.2692, -93.9778)",2561,75,Delivered,Paid,6,8,1,0x1753,Active,1
TX00133,58:29.7,9064,S9,C1,SF,16.18452908,52.31841634,"(41.8675, -112.1509)",2619,128,Shipped,Overdue,8,10,1,0x8840,Triggered,1
TX00134,58:29.7,9856,S8,C8,NY,6.797976948,63.00100388,"(34.8117, -84.1981)",1741,75,Shipped,Paid,9,14,0,0xc65d,Completed,0
TX00135,58:29.7,9838,S3,C5,LA,16.6784966,52.8732271,"(34.1994, -91.0535)",2146,141,Shipped,Overdue,7,10,1,0x7cc9,Completed,1
TX00136,58:29.7,9520,S3,C10,Chicago,10.55838737,59.12123103,"(36.686, -87.4284)",1837,134,Shipped,Overdue,1,13,0,0x5ffc,Active,0
TX00137,58:29.7,9343,S2,C1,SF,15.19074003,76.15205312,"(34.962, -105.148)",2697,71,Delivered,Paid,1,3,0,0xe707,Active,1
TX00138,58:29.7,9128,S5,C9,NY,15.07261684,42.74309127,"(34.1363, -109.4209)",1059,196,Delivered,Overdue,1,3,1,0xca89,Active,0
TX00139,58:29.7,9647,S4,C8,NY,16.90389082,74.25370507,"(37.8661, -112.0074)",2174,59,Pending,Paid,2,13,0,0xeefd,Active,1
TX00140,58:29.7,9471,S7,C4,Chicago,15.4577417,62.30294747,"(38.7972, -114.6834)",2788,91,Shipped,Overdue,3,11,0,0xf1b0,Completed,0
TX00141,58:29.7,9062,S4,C8,SF,5.58302535,66.60285035,"(39.9618, -78.5251)",1486,148,Pending,Paid,6,7,0,0x8c3f,Active,1
TX00142,58:29.7,9138,S9,C10,SF,12.79221666,42.23548267,"(37.0874, -96.2307)",1736,124,Shipped,Paid,9,2,0,0xb55c,Active,0
TX00143,58:29.7,9498,S2,C7,Chicago,7.492717602,70.45596469,"(37.9081, -84.6572)",1636,130,Pending,Paid,8,2,1,0x298c,Completed,0
TX00144,58:29.7,9592,S6,C7,NY,19.54946806,45.11113659,"(41.9535, -86.8941)",2620,156,Pending,Paid,3,0,0,0x9508,Triggered,0
TX00145,58:29.7,9391,S7,C1,NY,8.837518078,78.59284719,"(35.7162, -88.6764)",2704,81,Delivered,Overdue,2,5,1,0xc4ec,Completed,1
TX00146,58:29.7,9674,S4,C6,SF,11.30161027,71.97149105,"(38.9261, -110.5446)",2369,116,Shipped,Paid,7,1,1,0x0753,Active,1
TX00147,58:29.7,9418,S6,C4,SF,7.950532277,59.71471915,"(35.9277, -90.6246)",2092,169,Pending,Paid,9,9,1,0x37db,Completed,1
TX00148,58:29.7,9288,S7,C10,LA,7.018837007,76.96667829,"(40.4625, -85.6918)",2785,151,Pending,Overdue,8,3,1,0x1a6e,Triggered,1
TX00149,58:29.7,9378,S4,C10,LA,14.01394401,46.76293129,"(38.8513, -77.8106)",2206,163,Shipped,Paid,5,8,0,0xc8d8,Active,1
TX00150,58:29.7,9772,S8,C10,LA,12.39769473,79.66655856,"(39.8484, -95.6138)",1584,72,Pending,Overdue,2,9,0,0x7454,Active,0
TX00151,58:29.7,9489,S9,C2,SF,10.61989601,68.6727618,"(40.5296, -106.9282)",1379,99,Shipped,Paid,5,11,1,0x5668,Triggered,0
TX00152,58:29.7,9230,S1,C10,SF,6.281285332,43.93511654,"(36.1079, -76.2845)",2580,114,Pending,Overdue,6,9,1,0x88cc,Triggered,0
TX00153,58:29.7,9040,S7,C7,SF,16.03939047,61.46366017,"(41.5986, -80.3768)",1060,67,Delivered,Overdue,7,6,1,0x4914,Active,1
TX00154,58:29.7,9027,S9,C9,NY,5.087844468,68.43505474,"(35.715, -93.554)",1416,165,Delivered,Paid,9,14,1,0x5b8c,Active,0
TX00155,58:29.7,9134,S10,C5,Chicago,11.86492382,64.52089047,"(38.2804, -110.8601)",1472,182,Pending,Overdue,6,7,0,0xdc4c,Completed,1
TX00156,58:29.7,9200,S5,C8,SF,14.48857971,56.95797596,"(37.5823, -99.0684)",2715,148,Delivered,Paid,5,1,1,0x180b,Completed,1
TX00157,58:29.7,9839,S2,C5,NY,11.46066253,49.92571424,"(35.925, -77.0304)",1366,167,Pending,Overdue,7,2,1,0xb53f,Triggered,1
TX00158,58:29.7,9779,S10,C7,SF,6.893134759,49.52917974,"(37.9417, -96.3799)",1336,145,Delivered,Paid,3,0,0,0x658f,Completed,1
TX00159,58:29.7,9929,S6,C7,Chicago,16.67374829,77.07801486,"(38.7886, -80.0871)",1255,82,Delivered,Overdue,9,2,1,0x174e,Active,1
TX00160,58:29.7,9032,S7,C9,SF,9.859159285,49.38963003,"(38.2665, -95.6565)",1359,91,Shipped,Overdue,5,3,0,0x69fc,Completed,1
TX00161,58:29.7,9047,S2,C3,NY,7.021333268,78.49620136,"(35.9215, -92.8732)",1622,131,Shipped,Paid,9,1,0,0xf354,Triggered,0
TX00162,58:29.7,9502,S2,C1,SF,13.25398722,48.40903539,"(37.0492, -90.8948)",1018,128,Delivered,Paid,3,13,0,0x3ea4,Active,1
TX00163,58:29.7,9406,S10,C2,SF,5.287573363,55.37135115,"(36.406, -87.7922)",2994,140,Pending,Paid,8,6,0,0x1c62,Active,1
TX00164,58:29.7,9573,S10,C6,SF,9.860955361,40.49293706,"(38.9512, -98.6482)",2799,170,Pending,Overdue,7,10,0,0xc0fb,Completed,1
TX00165,58:29.7,9727,S1,C10,LA,16.25963554,76.12575758,"(34.7734, -91.7864)",2733,73,Shipped,Paid,4,10,1,0xcd5d,Completed,1
TX00166,58:29.7,9804,S4,C10,SF,18.69066994,44.17406701,"(40.8742, -112.3017)",1645,175,Shipped,Paid,6,2,0,0xa9a3,Triggered,1
TX00167,58:29.7,9098,S7,C9,NY,13.87591189,54.29317038,"(34.6778, -118.2194)",1711,52,Delivered,Overdue,4,5,0,0xeb50,Completed,1
TX00168,58:29.7,9683,S9,C3,NY,8.264173781,73.70072857,"(34.2545, -82.1069)",1440,120,Pending,Overdue,3,14,1,0xb2f6,Triggered,0
TX00169,58:29.7,9871,S3,C10,NY,8.300002261,71.67591755,"(39.8209, -110.8966)",2111,189,Pending,Overdue,6,1,1,0x53a7,Active,1
