product_id,name,manufacturer,batch_id,manufacture_date,current_location,status
PRD-9805,Component-9805,S5,TX00027,58:29.7,LA,FLAGGED
PRD-9385,Component-9385,S8,TX00028,58:29.7,LA,FLAGGED
PRD-9191,Component-9191,S5,TX00029,58:29.7,NY,FLAGGED
PRD-9955,Component-9955,S2,TX00030,58:29.7,Chicago,FLAGGED
PRD-9276,Component-9276,S6,TX00031,58:29.7,Chicago,FLAGGED
PRD-9160,Component-9160,S9,TX00032,58:29.7,NY,FLAGGED
PRD-9459,Component-9459,S3,TX00033,58:29.7,NY,VERIFIED
PRD-9313,Component-9313,S1,TX00034,58:29.7,Chicago,FLAGGED
PRD-9021,Component-9021,S1,TX00035,58:29.7,SF,FLAGGED
PRD-9252,Component-9252,S3,TX00036,58:29.7,LA,FLAGGED
PRD-9747,Component-9747,S10,TX00037,58:29.7,Chicago,VERIFIED
PRD-9856,Component-9856,S5,TX00038,58:29.7,NY,FLAGGED
PRD-9560,Component-9560,S3,TX00039,58:29.7,Chicago,VERIFIED
PRD-9474,Component-9474,S9,TX00040,58:29.7,LA,FLAGGED
PRD-9058,Component-9058,S8,TX00041,58:29.7,Chicago,VERIFIED
PRD-9510,Component-9510,S3,TX00042,58:29.7,NY,FLAGGED
PRD-9681,Component-9681,S9,TX00043,58:29.7,SF,FLAGGED
PRD-9475,Component-9475,S6,TX00044,58:29.7,NY,VERIFIED
PRD-9699,Component-9699,S7,TX00045,58:29.7,SF,FLAGGED
PRD-9975,Component-9975,S4,TX00046,58:29.7,LA,FLAGGED
PRD-9782,Component-9782,S4,TX00047,58:29.7,NY,FLAGGED
PRD-9189,Component-9189,S2,TX00048,58:29.7,Chicago,FLAGGED
PRD-9957,Component-9957,S5,TX00049,58:29.7,NY,VERIFIED
PRD-9686,Component-9686,S8,TX00050,58:29.7,NY,FLAGGED
PRD-9957,Component-9957,S7,TX00051,58:29.7,LA,FLAGGED
PRD-9562,Component-9562,S7,TX00052,58:29.7,SF,VERIFIED
PRD-9875,Component-9875,S6,TX00053,58:29.7,SF,VERIFIED
PRD-9566,Component-9566,S3,TX00054,58:29.7,Chicago,FLAGGED
PRD-9243,Component-9243,S5,TX00055,58:29.7,NY,VERIFIED
PRD-9831,Component-9831,S1,TX00056,58:29.7,LA,VERIFIED
PRD-9504,Component-9504,S7,TX00057,58:29.7,SF,FLAGGED
PRD-9130,Component-9130,S9,TX00058,58:29.7,Chicago,VERIFIED
PRD-9484,Component-9484,S1,TX00059,58:29.7,SF,FLAGGED
PRD-9818,Component-9818,S2,TX00060,58:29.7,Chicago,FLAGGED
PRD-9646,Component-9646,S3,TX00061,58:29.7,SF,FLAGGED
PRD-9020,Component-9020,S3,TX00062,58:29.7,Chicago,VERIFIED
PRD-9840,Component-9840,S8,TX00063,58:29.7,SF,FLAGGED
PRD-9166,Component-9166,S7,TX00064,58:29.7,SF,FLAGGED
PRD-9273,Component-9273,S6,TX00065,58:29.7,NY,VERIFIED
PRD-9387,Component-9387,S10,TX00066,58:29.7,Chicago,FLAGGED
PRD-9600,Component-9600,S10,TX00067,58:29.7,Chicago,FLAGGED
PRD-9315,Component-9315,S4,TX00068,58:29.7,NY,FLAGGED
PRD-9013,Component-9013,S9,TX00069,58:29.7,NY,FLAGGED
PRD-9241,Component-9241,S1,TX00070,58:29.7,SF,FLAGGED
PRD-9776,Component-9776,S2,TX00071,58:29.7,SF,VERIFIED
PRD-9345,Component-9345,S4,TX00072,58:29.7,SF,FLAGGED
PRD-9564,Component-9564,S3,TX00073,58:29.7,NY,VERIFIED
PRD-9897,Component-9897,S1,TX00074,58:29.7,SF,FLAGGED
PRD-9339,Component-9339,S5,TX00075,58:29.7,NY,FLAGGED
PRD-9091,Component-9091,S7,TX00076,58:29.7,SF,FLAGGED
PRD-9366,Component-9366,S2,TX00077,58:29.7,NY,FLAGGED
PRD-9955,Component-9955,S5,TX00078,58:29.7,Chicago,FLAGGED
PRD-9454,Component-9454,S6,TX00079,58:29.7,LA,FLAGGED
PRD-9427,Component-9427,S7,TX00080,58:29.7,SF,FLAGGED
PRD-9508,Component-9508,S1,TX00081,58:29.7,SF,FLAGGED
PRD-9775,Component-9775,S7,TX00082,58:29.7,NY,FLAGGED
PRD-9942,Component-9942,S4,TX00083,58:29.7,Chicago,FLAGGED
PRD-9034,Component-9034,S8,TX00084,58:29.7,Chicago,VERIFIED
PRD-9205,Component-9205,S4,TX00085,58:29.7,SF,FLAGGED
PRD-9080,Component-9080,S6,TX00086,58:29.7,NY,FLAGGED
PRD-9931,Component-9931,S9,TX00087,58:29.7,NY,FLAGGED
PRD-9561,Component-9561,S5,TX00088,58:29.7,LA,FLAGGED
PRD-9871,Component-9871,S4,TX00089,58:29.7,Chicago,FLAGGED
PRD-9387,Component-9387,S8,TX00090,58:29.7,LA,FLAGGED
PRD-9001,Component-9001,S9,TX00091,58:29.7,Chicago,FLAGGED
PRD-9389,Component-9389,S4,TX00092,58:29.7,SF,FLAGGED
PRD-9565,Component-9565,S3,TX00093,58:29.7,SF,VERIFIED
PRD-9105,Component-9105,S8,TX00094,58:29.7,NY,FLAGGED
PRD-9771,Component-9771,S5,TX00095,58:29.7,NY,FLAGGED
PRD-9821,Component-9821,S2,TX00096,58:29.7,NY,FLAGGED
PRD-9476,Component-9476,S10,TX00097,58:29.7,Chicago,FLAGGED
PRD-9702,Component-9702,S9,TX00098,58:29.7,NY,FLAGGED
PRD-9401,Component-9401,S3,TX00099,58:29.7,SF,FLAGGED
PRD-9729,Component-9729,S2,TX00100,58:29.7,LA,FLAGGED
PRD-9555,Component-9555,S1,TX00101,58:29.7,SF,FLAGGED
PRD-9161,Component-9161,S8,TX00102,58:29.7,SF,VERIFIED
PRD-9201,Component-9201,S3,TX00103,58:29.7,SF,VERIFIED
PRD-9957,Component-9957,S7,TX00104,58:29.7,LA,VERIFIED
PRD-9995,Component-9995,S1,TX00105,58:29.7,SF,FLAGGED
PRD-9269,Component-9269,S1,TX00106,58:29.7,Chicago,VERIFIED
PRD-9862,Component-9862,S9,TX00107,58:29.7,Chicago,FLAGGED
PRD-9815,Component-9815,S8,TX00108,58:29.7,LA,FLAGGED
PRD-9270,Component-9270,S3,TX00109,58:29.7,Chicago,FLAGGED
PRD-9455,Component-9455,S6,TX00110,58:29.7,NY,FLAGGED
PRD-9461,Component-9461,S3,TX00111,58:29.7,Chicago,FLAGGED
PRD-9726,Component-9726,S4,TX00112,58:29.7,SF,FLAGGED
PRD-9251,Component-9251,S1,TX00113,58:29.7,Chicago,FLAGGED
PRD-9701,Component-9701,S5,TX00114,58:29.7,NY,VERIFIED
PRD-9295,Component-9295,S1,TX00115,58:29.7,NY,FLAGGED
PRD-9724,Component-9724,S1,TX00116,58:29.7,NY,FLAGGED
PRD-9719,Component-9719,S10,TX00117,58:29.7,SF,FLAGGED
PRD-9748,Component-9748,S7,TX00118,58:29.7,NY,VERIFIED
PRD-9337,Component-9337,S6,TX00119,58:29.7,SF,FLAGGED
PRD-9878,Component-9878,S2,TX00120,58:29.7,NY,FLAGGED
PRD-9052,Component-9052,S2,TX00121,58:29.7,SF,VERIFIED
PRD-9791,Component-9791,S7,TX00122,58:29.7,SF,FLAGGED
PRD-9921,Component-9921,S1,TX00123,58:29.7,SF,FLAGGED
PRD-9216,Component-9216,S2,TX00124,58:29.7,Chicago,VERIFIED
PRD-9763,Component-9763,S8,TX00125,58:29.7,NY,FLAGGED
PRD-9187,Component-9187,S6,TX00126,58:29.7,SF,VERIFIED
PRD-9379,Component-9379,S2,TX00127,58:29.7,NY,FLAGGED
PRD-9492,Component-9492,S7,TX00128,58:29.7,Chicago,FLAGGED
PRD-9040,Component-9040,S4,TX00129,58:29.7,LA,FLAGGED
PRD-9156,Component-9156,S2,TX00130,58:29.7,NY,FLAGGED
PRD-9014,Component-9014,S6,TX00131,58:29.7,NY,FLAGGED
PRD-9812,Component-9812,S9,TX00132,58:29.7,Chicago,FLAGGED
PRD-9064,Component-9064,S9,TX00133,58:29.7,SF,FLAGGED
PRD-9856,Component-9856,S8,TX00134,58:29.7,NY,FLAGGED
PRD-9838,Component-9838,S3,TX00135,58:29.7,LA,FLAGGED
PRD-9520,Component-9520,S3,TX00136,58:29.7,Chicago,FLAGGED
PRD-9343,Component-9343,S2,TX00137,58:29.7,SF,VERIFIED
PRD-9128,Component-9128,S5,TX00138,58:29.7,NY,FLAGGED
PRD-9647,Component-9647,S4,TX00139,58:29.7,NY,VERIFIED
PRD-9471,Component-9471,S7,TX00140,58:29.7,Chicago,FLAGGED
PRD-9062,Component-9062,S4,TX00141,58:29.7,SF,VERIFIED
PRD-9138,Component-9138,S9,TX00142,58:29.7,SF,FLAGGED
PRD-9498,Component-9498,S2,TX00143,58:29.7,Chicago,FLAGGED
PRD-9592,Component-9592,S6,TX00144,58:29.7,NY,FLAGGED
PRD-9391,Component-9391,S7,TX00145,58:29.7,NY,FLAGGED
PRD-9674,Component-9674,S4,TX00146,58:29.7,SF,FLAGGED
PRD-9418,Component-9418,S6,TX00147,58:29.7,SF,FLAGGED
PRD-9288,Component-9288,S7,TX00148,58:29.7,LA,FLAGGED
PRD-9378,Component-9378,S4,TX00149,58:29.7,LA,VERIFIED
PRD-9772,Component-9772,S8,TX00150,58:29.7,LA,FLAGGED
PRD-9489,Component-9489,S9,TX00151,58:29.7,SF,FLAGGED
PRD-9230,Component-9230,S1,TX00152,58:29.7,SF,FLAGGED
PRD-9040,Component-9040,S7,TX00153,58:29.7,SF,FLAGGED
PRD-9027,Component-9027,S9,TX00154,58:29.7,NY,FLAGGED
PRD-9134,Component-9134,S10,TX00155,58:29.7,Chicago,VERIFIED
PRD-9200,Component-9200,S5,TX00156,58:29.7,SF,FLAGGED
PRD-9839,Component-9839,S2,TX00157,58:29.7,NY,FLAGGED
PRD-9779,Component-9779,S10,TX00158,58:29.7,SF,VERIFIED
PRD-9929,Component-9929,S6,TX00159,58:29.7,Chicago,FLAGGED
PRD-9032,Component-9032,S7,TX00160,58:29.7,SF,VERIFIED
PRD-9047,Component-9047,S2,TX00161,58:29.7,NY,FLAGGED
PRD-9502,Component-9502,S2,TX00162,58:29.7,SF,VERIFIED
PRD-9406,Component-9406,S10,TX00163,58:29.7,SF,VERIFIED
PRD-9573,Component-9573,S10,TX00164,58:29.7,SF,VERIFIED
PRD-9727,Component-9727,S1,TX00165,58:29.7,LA,FLAGGED
PRD-9804,Component-9804,S4,TX00166,58:29.7,SF,VERIFIED
PRD-9098,Component-9098,S7,TX00167,58:29.7,NY,VERIFIED
PRD-9683,Component-9683,S9,TX00168,58:29.7,NY,FLAGGED
PRD-9871,Component-9871,S3,TX00169,58:29.7,NY,FLAGGED
PRD-9725,Component-9725,S7,TX00170,58:29.7,SF,FLAGGED
PRD-9986,Component-9986,S7,TX00171,58:29.7,Chicago,FLAGGED
PRD-9546,Component-9546,S7,TX00172,58:29.7,NY,VERIFIED
PRD-9960,Component-9960,S2,TX00173,58:29.7,LA,FLAGGED
PRD-9738,Component-9738,S6,TX00174,58:29.7,Chicago,FLAGGED
PRD-9612,Component-9612,S2,TX00175,58:29.7,NY,FLAGGED
PRD-9942,Component-9942,S6,TX00176,58:29.7,SF,FLAGGED
PRD-9461,Component-9461,S10,TX00177,58:29.7,LA,VERIFIED
PRD-9642,Component-9642,S3,TX00178,58:29.7,NY,VERIFIED
PRD-9768,Component-9768,S2,TX00179,58:29.7,LA,VERIFIED
PRD-9004,Component-9004,S6,TX00180,58:29.7,Chicago,VERIFIED
PRD-9217,Component-9217,S2,TX00181,58:29.7,NY,VERIFIED
PRD-9502,Component-9502,S5,TX00182,58:29.7,SF,FLAGGED
PRD-9766,Component-9766,S2,TX00183,58:29.7,LA,VERIFIED
PRD-9397,Component-9397,S3,TX00184,58:29.7,NY,VERIFIED
PRD-9870,Component-9870,S3,TX00185,58:29.7,Chicago,FLAGGED
PRD-9794,Component-9794,S6,TX00186,58:29.7,Chicago,FLAGGED
PRD-9392,Component-9392,S6,TX00187,58:29.7,NY,VERIFIED
PRD-9206,Component-9206,S10,TX00188,58:29.7,Chicago,FLAGGED
PRD-9014,Component-9014,S3,TX00189,58:29.7,LA,VERIFIED
PRD-9857,Component-9857,S3,TX00190,58:29.7,LA,FLAGGED
PRD-9553,Component-9553,S1,TX00191,58:29.7,LA,FLAGGED
PRD-9891,Component-9891,S7,TX00192,58:29.7,LA,FLAGGED
PRD-9460,Component-9460,S8,TX00193,58:29.7,Chicago,FLAGGED
PRD-9690,Component-9690,S2,TX00194,58:29.7,NY,VERIFIED
PRD-9574,Component-9574,S4,TX00195,58:29.7,Chicago,VERIFIED
PRD-9863,Component-9863,S10,TX00196,58:29.7,Chicago,FLAGGED
PRD-9742,Component-9742,S7,TX00197,58:29.7,NY,FLAGGED
PRD-9240,Component-9240,S8,TX00198,58:29.7,NY,FLAGGED
PRD-9563,Component-9563,S1,TX00199,58:29.7,SF,VERIFIED
PRD-9095,Component-9095,S4,TX00200,58:29.7,LA,FLAGGED
PRD-9899,Component-9899,S6,TX00201,58:29.7,NY,FLAGGED
PRD-9733,Component-9733,S3,TX00202,58:29.7,Chicago,FLAGGED
PRD-9484,Component-9484,S5,TX00203,58:29.7,LA,FLAGGED
PRD-9406,Component-9406,S10,TX00204,58:29.7,LA,VERIFIED
PRD-9230,Component-9230,S9,TX00205,58:29.7,Chicago,FLAGGED
PRD-9748,Component-9748,S3,TX00206,58:29.7,NY,VERIFIED
PRD-9654,Component-9654,S5,TX00207,58:29.7,LA,FLAGGED
PRD-9170,Component-9170,S8,TX00208,58:29.7,LA,VERIFIED
PRD-9540,Component-9540,S6,TX00209,58:29.7,LA,VERIFIED
PRD-9035,Component-9035,S4,TX00210,58:29.7,LA,FLAGGED
PRD-9524,Component-9524,S8,TX00211,58:29.7,LA,FLAGGED
PRD-9159,Component-9159,S3,TX00212,58:29.7,Chicago,FLAGGED
PRD-9838,Component-9838,S3,TX00213,58:29.7,NY,FLAGGED
PRD-9698,Component-9698,S4,TX00214,58:29.7,NY,FLAGGED
PRD-9242,Component-9242,S9,TX00215,58:29.7,LA,FLAGGED
PRD-9085,Component-9085,S5,TX00216,58:29.7,LA,FLAGGED
PRD-9795,Component-9795,S8,TX00217,58:29.7,LA,VERIFIED
PRD-9577,Component-9577,S6,TX00218,58:29.7,Chicago,FLAGGED
PRD-9681,Component-9681,S3,TX00219,58:29.7,Chicago,VERIFIED
PRD-9556,Component-9556,S8,TX00220,58:29.7,SF,FLAGGED
PRD-9573,Component-9573,S9,TX00221,58:29.7,LA,FLAGGED
PRD-9952,Component-9952,S8,TX00222,58:29.7,SF,FLAGGED
PRD-9645,Component-9645,S4,TX00223,58:29.7,SF,VERIFIED
PRD-9795,Component-9795,S6,TX00224,58:29.7,SF,VERIFIED
PRD-9027,Component-9027,S1,TX00225,58:29.7,NY,FLAGGED
PRD-9619,Component-9619,S4,TX00226,58:29.7,SF,FLAGGED
PRD-9555,Component-9555,S8,TX00227,58:29.7,LA,FLAGGED
PRD-9339,Component-9339,S1,TX00228,58:29.7,Chicago,FLAGGED
PRD-9797,Component-9797,S3,TX00229,58:29.7,LA,FLAGGED
PRD-9957,Component-9957,S1,TX00230,58:29.7,Chicago,FLAGGED
PRD-9330,Component-9330,S9,TX00231,58:29.7,NY,VERIFIED
PRD-9639,Component-9639,S2,TX00232,58:29.7,NY,VERIFIED
PRD-9505,Component-9505,S9,TX00233,58:29.7,LA,FLAGGED
PRD-9347,Component-9347,S4,TX00234,58:29.7,NY,FLAGGED
PRD-9472,Component-9472,S2,TX00235,58:29.7,Chicago,FLAGGED
PRD-9230,Component-9230,S4,TX00236,58:29.7,NY,FLAGGED
PRD-9189,Component-9189,S10,TX00237,58:29.7,SF,VERIFIED
PRD-9224,Component-9224,S6,TX00238,58:29.7,SF,FLAGGED
PRD-9384,Component-9384,S7,TX00239,58:29.7,NY,VERIFIED
PRD-9376,Component-9376,S3,TX00240,58:29.7,LA,FLAGGED
PRD-9282,Component-9282,S3,TX00241,58:29.7,SF,FLAGGED
PRD-9957,Component-9957,S10,TX00242,58:29.7,Chicago,FLAGGED
PRD-9632,Component-9632,S8,TX00243,58:29.7,LA,FLAGGED
PRD-9627,Component-9627,S5,TX00244,58:29.7,NY,FLAGGED
PRD-9972,Component-9972,S4,TX00245,58:29.7,LA,FLAGGED
PRD-9744,Component-9744,S7,TX00246,58:29.7,LA,FLAGGED
PRD-9258,Component-9258,S7,TX00247,58:29.7,LA,FLAGGED
PRD-9358,Component-9358,S9,TX00248,58:29.7,LA,FLAGGED
PRD-9709,Component-9709,S9,TX00249,58:29.7,NY,FLAGGED
PRD-9455,Component-9455,S5,TX00250,58:29.7,NY,FLAGGED
PRD-9410,Component-9410,S8,TX00251,58:29.7,SF,FLAGGED
PRD-9648,Component-9648,S10,TX00252,58:29.7,SF,VERIFIED
PRD-9317,Component-9317,S1,TX00253,58:29.7,Chicago,FLAGGED
PRD-9676,Component-9676,S9,TX00254,58:29.7,Chicago,FLAGGED
PRD-9224,Component-9224,S8,TX00255,58:29.7,SF,FLAGGED
PRD-9818,Component-9818,S6,TX00256,58:29.7,SF,FLAGGED
PRD-9233,Component-9233,S3,TX00257,58:29.7,LA,FLAGGED
PRD-9683,Component-9683,S3,TX00258,58:29.7,SF,FLAGGED
PRD-9663,Component-9663,S8,TX00259,58:29.7,Chicago,VERIFIED
PRD-9974,Component-9974,S5,TX00260,58:29.7,SF,FLAGGED
PRD-9826,Component-9826,S10,TX00261,58:29.7,LA,FLAGGED
PRD-9373,Component-9373,S7,TX00262,58:29.7,Chicago,FLAGGED
PRD-9671,Component-9671,S5,TX00263,58:29.7,NY,VERIFIED
PRD-9607,Component-9607,S8,TX00264,58:29.7,SF,VERIFIED
PRD-9471,Component-9471,S10,TX00265,58:29.7,NY,VERIFIED
PRD-9232,Component-9232,S10,TX00266,58:29.7,Chicago,FLAGGED
PRD-9691,Component-9691,S4,TX00267,58:29.7,SF,FLAGGED
PRD-9112,Component-9112,S2,TX00268,58:29.7,NY,FLAGGED
PRD-9829,Component-9829,S3,TX00269,58:29.7,SF,FLAGGED
PRD-9496,Component-9496,S8,TX00270,58:29.7,NY,FLAGGED
PRD-9441,Component-9441,S7,TX00271,58:29.7,NY,FLAGGED
PRD-9563,Component-9563,S2,TX00272,58:29.7,Chicago,VERIFIED
PRD-9267,Component-9267,S6,TX00273,58:29.7,SF,FLAGGED
PRD-9509,Component-9509,S9,TX00274,58:29.7,NY,FLAGGED
PRD-9806,Component-9806,S4,TX00275,58:29.7,SF,FLAGGED
PRD-9385,Component-9385,S9,TX00276,58:29.7,SF,FLAGGED
PRD-9386,Component-9386,S2,TX00277,58:29.7,LA,FLAGGED
PRD-9112,Component-9112,S2,TX00278,58:29.7,Chicago,FLAGGED
PRD-9612,Component-9612,S9,TX00279,58:29.7,SF,VERIFIED
PRD-9624,Component-9624,S7,TX00280,58:29.7,SF,FLAGGED
PRD-9951,Component-9951,S7,TX00281,58:29.7,SF,FLAGGED
PRD-9080,Component-9080,S1,TX00282,58:29.7,Chicago,FLAGGED
PRD-9698,Component-9698,S6,TX00283,58:29.7,Chicago,FLAGGED
PRD-9112,Component-9112,S7,TX00284,58:29.7,SF,FLAGGED
PRD-9001,Component-9001,S6,TX00285,58:29.7,Chicago,FLAGGED
PRD-9641,Component-9641,S6,TX00286,58:29.7,LA,FLAGGED
PRD-9219,Component-9219,S2,TX00287,58:29.7,Chicago,FLAGGED
PRD-9565,Component-9565,S6,TX00288,58:29.7,LA,VERIFIED
PRD-9854,Component-9854,S4,TX00289,58:29.7,LA,FLAGGED
PRD-9996,Component-9996,S9,TX00290,58:29.7,LA,VERIFIED
PRD-9735,Component-9735,S1,TX00291,58:29.7,NY,FLAGGED
PRD-9224,Component-9224,S8,TX00292,58:29.7,Chicago,FLAGGED
PRD-9384,Component-9384,S5,TX00293,58:29.7,SF,FLAGGED
PRD-9402,Component-9402,S1,TX00294,58:29.7,LA,FLAGGED
PRD-9637,Component-9637,S4,TX00295,58:29.7,SF,VERIFIED
PRD-9129,Component-9129,S1,TX00296,58:29.7,LA,FLAGGED
PRD-9052,Component-9052,S6,TX00297,58:29.7,SF,FLAGGED
PRD-9683,Component-9683,S2,TX00298,58:29.7,NY,FLAGGED
PRD-9729,Component-9729,S5,TX00299,58:29.7,LA,FLAGGED
PRD-9671,Component-9671,S7,TX00300,58:29.7,NY,VERIFIED
PRD-9709,Component-9709,S2,TX00301,58:29.7,NY,FLAGGED
PRD-9415,Component-9415,S6,TX00302,58:29.7,Chicago,FLAGGED
PRD-9246,Component-9246,S6,TX00303,58:29.7,SF,FLAGGED
PRD-9835,Component-9835,S5,TX00304,58:29.7,LA,VERIFIED
PRD-9438,Component-9438,S5,TX00305,58:29.7,NY,FLAGGED
PRD-9202,Component-9202,S3,TX00306,58:29.7,SF,FLAGGED
PRD-9183,Component-9183,S10,TX00307,58:29.7,Chicago,FLAGGED
PRD-9122,Component-9122,S10,TX00308,58:29.7,SF,FLAGGED
PRD-9400,Component-9400,S2,TX00309,58:29.7,SF,VERIFIED
PRD-9766,Component-9766,S7,TX00310,58:29.7,Chicago,FLAGGED
PRD-9293,Component-9293,S1,TX00311,58:29.7,Chicago,FLAGGED
PRD-9279,Component-9279,S6,TX00312,58:29.7,Chicago,FLAGGED
PRD-9836,Component-9836,S6,TX00313,58:29.7,NY,FLAGGED
PRD-9883,Component-9883,S3,TX00314,58:29.7,SF,VERIFIED
PRD-9609,Component-9609,S2,TX00315,58:29.7,Chicago,VERIFIED
PRD-9197,Component-9197,S2,TX00316,58:29.7,SF,VERIFIED
PRD-9981,Component-9981,S9,TX00317,58:29.7,SF,VERIFIED
PRD-9906,Component-9906,S5,TX00318,58:29.7,NY,FLAGGED
PRD-9510,Component-9510,S7,TX00319,58:29.7,SF,VERIFIED
PRD-9751,Component-9751,S5,TX00320,58:29.7,NY,VERIFIED
PRD-9143,Component-9143,S7,TX00321,58:29.7,Chicago,FLAGGED
PRD-9608,Component-9608,S4,TX00322,58:29.7,Chicago,FLAGGED
PRD-9200,Component-9200,S8,TX00323,58:29.7,SF,FLAGGED
PRD-9123,Component-9123,S10,TX00324,58:29.7,NY,VERIFIED
PRD-9186,Component-9186,S10,TX00325,58:29.7,NY,FLAGGED
PRD-9325,Component-9325,S7,TX00326,58:29.7,LA,VERIFIED
PRD-9463,Component-9463,S10,TX00327,58:29.7,LA,FLAGGED
PRD-9348,Component-9348,S5,TX00328,58:29.7,Chicago,FLAGGED
PRD-9770,Component-9770,S6,TX00329,58:29.7,Chicago,FLAGGED
PRD-9659,Component-9659,S5,TX00330,58:29.7,LA,VERIFIED
PRD-9763,Component-9763,S7,TX00331,58:29.7,NY,FLAGGED
PRD-9954,Component-9954,S2,TX00332,58:29.7,SF,VERIFIED
PRD-9931,Component-9931,S5,TX00333,58:29.7,SF,FLAGGED
PRD-9402,Component-9402,S10,TX00334,58:29.7,NY,FLAGGED
PRD-9345,Component-9345,S3,TX00335,58:29.7,Chicago,FLAGGED
PRD-9962,Component-9962,S9,TX00336,58:29.7,SF,FLAGGED
PRD-9510,Component-9510,S6,TX00337,58:29.7,NY,FLAGGED
PRD-9146,Component-9146,S10,TX00338,58:29.7,SF,FLAGGED
PRD-9147,Component-9147,S3,TX00339,58:29.7,NY,FLAGGED
PRD-9863,Component-9863,S7,TX00340,58:29.7,LA,FLAGGED
PRD-9710,Component-9710,S4,TX00341,58:29.7,LA,FLAGGED
PRD-9819,Component-9819,S3,TX00342,58:29.7,SF,FLAGGED
PRD-9488,Component-9488,S8,TX00343,58:29.7,SF,FLAGGED
PRD-9928,Component-9928,S4,TX00344,58:29.7,SF,FLAGGED
PRD-9935,Component-9935,S1,TX00345,58:29.7,SF,VERIFIED
PRD-9639,Component-9639,S6,TX00346,58:29.7,LA,FLAGGED
PRD-9550,Component-9550,S10,TX00347,58:29.7,LA,FLAGGED
PRD-9337,Component-9337,S1,TX00348,58:29.7,NY,FLAGGED
PRD-9871,Component-9871,S5,TX00349,58:29.7,SF,FLAGGED
PRD-9640,Component-9640,S7,TX00350,58:29.7,LA,FLAGGED
PRD-9778,Component-9778,S6,TX00351,58:29.7,Chicago,FLAGGED
PRD-9987,Component-9987,S2,TX00352,58:29.7,NY,FLAGGED
PRD-9952,Component-9952,S4,TX00353,58:29.7,NY,FLAGGED
PRD-9472,Component-9472,S2,TX00354,58:29.7,NY,FLAGGED
PRD-9945,Component-9945,S1,TX00355,58:29.7,Chicago,FLAGGED
PRD-9150,Component-9150,S3,TX00356,58:29.7,Chicago,FLAGGED
PRD-9414,Component-9414,S3,TX00357,58:29.7,Chicago,VERIFIED
PRD-9989,Component-9989,S7,TX00358,58:29.7,LA,FLAGGED
PRD-9297,Component-9297,S1,TX00359,58:29.7,Chicago,FLAGGED
PRD-9610,Component-9610,S9,TX00360,58:29.7,NY,FLAGGED
PRD-9262,Component-9262,S6,TX00361,58:29.7,SF,FLAGGED
PRD-9763,Component-9763,S4,TX00362,58:29.7,NY,FLAGGED
PRD-9143,Component-9143,S3,TX00363,58:29.7,NY,VERIFIED
PRD-9345,Component-9345,S3,TX00364,58:29.7,LA,FLAGGED
PRD-9623,Component-9623,S2,TX00365,58:29.7,NY,VERIFIED
PRD-9571,Component-9571,S2,TX00366,58:29.7,LA,VERIFIED
PRD-9880,Component-9880,S10,TX00367,58:29.7,LA,VERIFIED
PRD-9001,Component-9001,S5,TX00368,58:29.7,SF,FLAGGED
PRD-9896,Component-9896,S9,TX00369,58:29.7,NY,FLAGGED
PRD-9303,Component-9303,S2,TX00370,58:29.7,SF,FLAGGED
PRD-9253,Component-9253,S2,TX00371,58:29.7,SF,VERIFIED
PRD-9651,Component-9651,S6,TX00372,58:29.7,NY,FLAGGED
